Vallejo,Jesús,Real Madrid
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.08,2
ASSISTS,0.00,28
XA,0.01,33
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.50,45
PASSES_ATTEMPTED,31.26,2
PASS_COMPLETION_PERCENTAGE,78.3,7
PROGRESSIVE_PASSES,1.59,11
PROGRESSIVE CARRIES,1.09,10
DRIBBLES_COMPLETED,0.25,60
TOUCHES_IN_AREA,0.42,12
PROGRESSIVE_PASSES_RECIEVED,0.08,26
PRESSURES,10.73,74
TACKLES,1.17,24
INTERCEPTIONS,1.17,9
BLOCKS,1.93,76
CLEARANCES,5.87,77
AERIAL_DUELS_WON,1.84,16
