Walukiewicz,Sebastian,Cagliari
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,30
TOTAL_SHOTS,0.11,2
ASSISTS,0.00,28
XA,0.01,41
NON_PEN_XG+XA,0.04,25
SHOT_CREATIONS,0.22,5
PASSES_ATTEMPTED,49.52,39
PASS_COMPLETION_PERCENTAGE,87.8,60
PROGRESSIVE_PASSES,2.05,26
PROGRESSIVE CARRIES,1.83,30
DRIBBLES_COMPLETED,0.86,99
TOUCHES_IN_AREA,0.32,7
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,14.64,96
TACKLES,2.15,84
INTERCEPTIONS,1.94,67
BLOCKS,1.94,77
CLEARANCES,4.31,30
AERIAL_DUELS_WON,1.08,2
