Konaté,Ibrahima,Liverpool
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,15
TOTAL_SHOTS,0.47,48
ASSISTS,0.00,28
XA,0.01,36
NON_PEN_XG+XA,0.03,10
SHOT_CREATIONS,0.47,41
PASSES_ATTEMPTED,69.52,88
PASS_COMPLETION_PERCENTAGE,88.7,69
PROGRESSIVE_PASSES,3.41,75
PROGRESSIVE CARRIES,3.51,74
DRIBBLES_COMPLETED,0.38,80
TOUCHES_IN_AREA,0.95,68
PROGRESSIVE_PASSES_RECIEVED,0.38,87
PRESSURES,7.68,35
TACKLES,1.61,61
INTERCEPTIONS,2.47,89
BLOCKS,1.42,25
CLEARANCES,4.27,28
AERIAL_DUELS_WON,3.41,82
