Goldaniga,Edoardo,Sassuolo
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,21
TOTAL_SHOTS,0.44,42
ASSISTS,0.00,28
XA,0.01,34
NON_PEN_XG+XA,0.04,16
SHOT_CREATIONS,0.44,35
PASSES_ATTEMPTED,40.70,14
PASS_COMPLETION_PERCENTAGE,71.3,1
PROGRESSIVE_PASSES,3.25,71
PROGRESSIVE CARRIES,3.42,71
DRIBBLES_COMPLETED,0.26,64
TOUCHES_IN_AREA,1.14,81
PROGRESSIVE_PASSES_RECIEVED,1.58,99
PRESSURES,10.70,74
TACKLES,1.40,45
INTERCEPTIONS,1.40,25
BLOCKS,0.96,1
CLEARANCES,4.74,44
AERIAL_DUELS_WON,1.58,10
